report_id,ts_code,unique_anchored_date,raw_pdf_path,pdf_sha256,original_line,date_text,date,characters_before_author,date_starts_at,title_precedes_date_on_same_line
AP201702220356580074,600089.SH,False,data/raw/510300_forward_eps_soochow_originals_v1/AP201702220356580074.pdf,ffd56fb5352c7c7de9d8717f383f280d54e2ce329b6e1672d1345904a38be751,,,,,,
AP201703020376282516,603338.SH,False,data/raw/510300_forward_eps_soochow_originals_v1/AP201703020376282516.pdf,b86bead9c0aabbdbfde2625249a8d5da4b03b49f64d45245fcec1ca6058866f3,,,,,,
AP201703280444888232,601766.SH,True,data/raw/510300_forward_eps_soochow_originals_v1/AP201703280444888232.pdf,181f5fe337e03a7410790d47fe8efca89326fcd781ff5e08bdd20895a5c17310,[Table_AuthorInfo] 2017 年 3 月 27 日,2017 年 3 月 27 日,2017-03-27,1539.0,1522.0,True
AP201703300452798009,601766.SH,True,data/raw/510300_forward_eps_soochow_originals_v1/AP201703300452798009.pdf,ffe6dafff01a529be4f21ae4c0998bf20607c5ba71ff6d0ea15fb03adbbad456,[Table_AuthorInfo] 2017 年 3 月 30 日,2017 年 3 月 30 日,2017-03-30,1648.0,1631.0,True
AP201704120498605615,601766.SH,True,data/raw/510300_forward_eps_soochow_originals_v1/AP201704120498605615.pdf,d8b048fdac4d3b116631d3c4a2d92945f2095085ef2f4e5bc967e708d30c3e30,[Table_AuthorInfo] 2017 年 4 月 12 日,2017 年 4 月 12 日,2017-04-12,1303.0,1286.0,True
AP201704270535714312,603338.SH,True,data/raw/510300_forward_eps_soochow_originals_v1/AP201704270535714312.pdf,e5c02ce0630905fec162859d9b56392f1bca6883a250aeb79879b0f3a9132c6c,[Table_AuthorInfo] 2017 年 4 月 27 日,2017 年 4 月 27 日,2017-04-27,1274.0,1257.0,True
AP201705030549821801,601766.SH,True,data/raw/510300_forward_eps_soochow_originals_v1/AP201705030549821801.pdf,8922e6f9f1526a5a7783926c1fbc332fafec636f4ea4655a15abe80adc179a06,[Table_AuthorInfo] 2017 年 4 月 28 日,2017 年 4 月 28 日,2017-04-28,1515.0,1498.0,True
AP201707280750464188,603338.SH,True,data/raw/510300_forward_eps_soochow_originals_v1/AP201707280750464188.pdf,34391032a3703590b89ed26b37a2ac4327dfc2899013761683fc219684f3a293,[Table_AuthorInfo] 2017 年 7 月 25 日,2017 年 7 月 25 日,2017-07-25,1519.0,1503.0,True
AP201808061175455918,002709.SZ,False,data/raw/510300_forward_eps_soochow_originals_v1/AP201808061175455918.pdf,8acc569f7b61b2ad65498729cbeea294aefd7297edc200d6dd296eab354c9a93,,,,,,
AP201808251183015331,600884.SH,False,data/raw/510300_forward_eps_soochow_originals_v1/AP201808251183015331.pdf,52bd50e589a679f0851150358f043fc16c511465aae0c8dac1fd2636a9be3a5c,,,,,,
AP201808271183250404,601877.SH,False,data/raw/510300_forward_eps_soochow_originals_v1/AP201808271183250404.pdf,10502f3395715429791ed0547c3b54b6eda013adf0c6e9b6db11335648f2bf7f,,,,,,
AP201808301184974589,603799.SH,False,data/raw/510300_forward_eps_soochow_originals_v1/AP201808301184974589.pdf,d26d304aa884b3388b8fb416ff2535250a43850edcac340a5b5cebde238e800f,,,,,,
AP201809071190826436,002709.SZ,False,data/raw/510300_forward_eps_soochow_originals_v1/AP201809071190826436.pdf,2d9e8df58be85835ffd435e0b839f36413723814218292ef73c167b79703d7e3,,,,,,
AP201912251372563222,300014.SZ,False,data/raw/510300_forward_eps_soochow_originals_v1/AP201912251372563222.pdf,da65059983b5087ab8a6b01f254655ced0721009206b5c357b890ad2048a1790,,,,,,
AP202011221431765605,002709.SZ,False,data/raw/510300_forward_eps_soochow_originals_v1/AP202011221431765605.pdf,38c2b1c3b4f8ca3f88d16abb00724db393823efeda2fb1a56b2c7d7e3b02f0f4,,,,,,
AP202108101509189633,601865.SH,False,data/raw/510300_forward_eps_soochow_originals_v1/AP202108101509189633.pdf,d6341546a758cc0fc8e5d17bdca574d65938eaaac88231ed27cd4799124dd7af,,,,,,
AP202108191510936266,600438.SH,False,data/raw/510300_forward_eps_soochow_originals_v1/AP202108191510936266.pdf,5c3a157994a8337e2054effa326a7a5761750d35a9259adb0fe624492fad2271,,,,,,
AP202108261512393321,688599.SH,False,data/raw/510300_forward_eps_soochow_originals_v1/AP202108261512393321.pdf,0063e27a47ffa4dc3d2069e922d1cc39726e0a752eeb72718b8db2e46d228d7d,,,,,,
